[2025-10-08 14:57:25.078] [info] Starting main process...
[2025-10-08 14:57:26.939] [info] Camera initialized successfully.
[2025-10-08 14:57:27.394] [info] YOLO model initialized successfully.
[2025-10-08 14:57:28.806] [warning] Failed to get image buffer, retrying...
[2025-10-08 14:57:28.914] [warning] Failed to get image buffer, retrying...
[2025-10-08 14:57:29.025] [warning] Failed to get image buffer, retrying...
[2025-10-08 14:57:29.133] [warning] Failed to get image buffer, retrying...
[2025-10-08 14:57:29.570] [warning] Failed to get image buffer, retrying...
[2025-10-08 14:57:29.677] [warning] Failed to get image buffer, retrying...
[2025-10-08 14:57:29.782] [warning] Failed to get image buffer, retrying...
[2025-10-08 14:57:29.883] [warning] Failed to get image buffer, retrying...
[2025-10-08 14:57:32.711] [warning] Failed to get image buffer, retrying...
[2025-10-08 14:57:32.812] [warning] Failed to get image buffer, retrying...
[2025-10-08 14:57:32.915] [warning] Failed to get image buffer, retrying...
[2025-10-08 14:57:33.026] [warning] Failed to get image buffer, retrying...
[2025-10-08 14:57:36.027] [warning] Failed to get image buffer, retrying...
[2025-10-08 14:57:36.128] [warning] Failed to get image buffer, retrying...
[2025-10-08 14:57:36.228] [warning] Failed to get image buffer, retrying...
[2025-10-08 14:57:36.329] [warning] Failed to get image buffer, retrying...
[2025-10-08 14:57:37.069] [warning] Failed to get image buffer, retrying...
[2025-10-08 14:57:37.169] [warning] Failed to get image buffer, retrying...
[2025-10-08 14:57:37.270] [warning] Failed to get image buffer, retrying...
[2025-10-08 14:57:37.370] [warning] Failed to get image buffer, retrying...
[2025-10-08 14:57:37.471] [warning] Failed to get image buffer, retrying...
[2025-10-08 14:57:37.571] [warning] Failed to get image buffer, retrying...
[2025-10-08 14:57:37.673] [warning] Failed to get image buffer, retrying...
[2025-10-08 14:57:37.781] [warning] Failed to get image buffer, retrying...
[2025-10-08 14:57:37.881] [warning] Failed to get image buffer, retrying...
[2025-10-08 14:57:40.842] [warning] Failed to get image buffer, retrying...
[2025-10-08 14:57:40.944] [warning] Failed to get image buffer, retrying...
[2025-10-08 14:57:41.046] [warning] Failed to get image buffer, retrying...
[2025-10-08 14:57:41.147] [warning] Failed to get image buffer, retrying...
[2025-10-08 14:57:41.248] [warning] Failed to get image buffer, retrying...
[2025-10-08 14:57:41.355] [warning] Failed to get image buffer, retrying...
[2025-10-08 14:57:41.456] [warning] Failed to get image buffer, retrying...
[2025-10-08 14:57:41.556] [warning] Failed to get image buffer, retrying...
[2025-10-08 14:57:41.658] [warning] Failed to get image buffer, retrying...
